,Constrain,Graph,Prop_Correct,Network
708,3,3,0.34247795,Alexnet
709,3,3,0.33758008,VGG16
710,3,3,0.3436209,Resnet50
711,3,3,0.34402683,Alexnet
712,3,3,0.33674976,VGG16
713,3,3,0.34350136,Resnet50
714,3,3,0.3432125,Alexnet
715,3,3,0.3374943,VGG16
716,3,3,0.34494203,Resnet50
717,3,3,0.34290713,Alexnet
718,3,3,0.33687273,VGG16
719,3,3,0.34500605,Resnet50
720,3,4,0.35750616,Alexnet
721,3,4,0.35074264,VGG16
722,3,4,0.356031,Resnet50
723,3,4,0.3501554,Alexnet
724,3,4,0.34237128,VGG16
725,3,4,0.347133,Resnet50
726,3,4,0.35792395,Alexnet
727,3,4,0.35322204,VGG16
728,3,4,0.36011362,Resnet50
729,3,4,0.3598524,Alexnet
730,3,4,0.3430589,VGG16
731,3,4,0.35769573,Resnet50
732,3,4,0.34795833,Alexnet
733,3,4,0.339906,VGG16
734,3,4,0.3447377,Resnet50
735,3,4,0.35821742,Alexnet
736,3,4,0.34987906,VGG16
737,3,4,0.36488137,Resnet50
738,3,4,0.357773,Alexnet
739,3,4,0.34879252,VGG16
740,3,4,0.36584452,Resnet50
741,3,4,0.34961352,Alexnet
742,3,4,0.34207106,VGG16
743,3,4,0.34885517,Resnet50
744,3,4,0.34903124,Alexnet
745,3,4,0.34011927,VGG16
746,3,4,0.3515714,Resnet50
747,3,4,0.35566217,Alexnet
748,3,4,0.35340214,VGG16
749,3,4,0.36385345,Resnet50
750,3,5,0.33597547,Alexnet
751,3,5,0.33241817,VGG16
752,3,5,0.33008388,Resnet50
753,3,5,0.3405349,Alexnet
754,3,5,0.33244294,VGG16
755,3,5,0.33564606,Resnet50
756,3,5,0.33809522,Alexnet
757,3,5,0.3301704,VGG16
758,3,5,0.33039567,Resnet50
759,3,5,0.33788633,Alexnet
760,3,5,0.3347963,VGG16
761,3,5,0.3350684,Resnet50
762,3,5,0.34773776,Alexnet
763,3,5,0.3372747,VGG16
764,3,5,0.34921703,Resnet50
765,3,5,0.3464968,Alexnet
766,3,5,0.33614916,VGG16
767,3,5,0.3492633,Resnet50
768,3,5,0.34425768,Alexnet
769,3,5,0.3338708,VGG16
770,3,5,0.3492677,Resnet50
771,3,5,0.3512398,Alexnet
772,3,5,0.33915547,VGG16
773,3,5,0.3530982,Resnet50
774,3,5,0.3516004,Alexnet
775,3,5,0.33835363,VGG16
776,3,5,0.35586423,Resnet50
777,3,5,0.35540003,Alexnet
778,3,5,0.34102878,VGG16
779,3,5,0.35384688,Resnet50
780,3,6,0.36031985,Alexnet
781,3,6,0.35292816,VGG16
782,3,6,0.36215207,Resnet50
783,3,6,0.36387202,Alexnet
784,3,6,0.35645905,VGG16
